goal_code,indicator_code,country,availability,disaggregation
2,2.3.2,Egypt,0,Sex
2,2.4.1,Egypt,0,Sex
3,3.5.1,Egypt,0,Sex
4,4.1.2,Egypt,0,Sex
4,4.2.1,Egypt,0,Sex
5,5.2.2,Egypt,0,Sex
5,5.a.1,Egypt,0,Sex
11,11.2.1,Egypt,0,Sex
11,11.7.1,Egypt,0,Sex
11,11.7.2,Egypt,0,Sex
10,10.2.1,Egypt,0,Sex
10,10.3.1,Egypt,0,Sex
10,10.4.2,Egypt,0,Sex
10,10.7.1,Egypt,0,Sex
10,10.7.4,Egypt,0,Sex
16,16.1.4,Egypt,0,Sex
16,16.2.3,Egypt,0,Sex
16,16.3.1,Egypt,0,Sex
16,16.3.3,Egypt,0,Sex
16,16.5.1,Egypt,0,Sex
16,16.6.2,Egypt,0,Sex
16,16.7.1,Egypt,0,Sex
16,16.7.2,Egypt,0,Sex
16,16.10.1,Egypt,0,Sex
16,16.10.2,Egypt,0,Sex
1,1.2.2,Iraq,0,Sex
1,1.4.2,Iraq,0,Sex
2,2.1.2,Iraq,0,Sex
2,2.4.1,Iraq,0,Sex
3,3.3.1,Iraq,0,Sex
3,3.5.1,Iraq,0,Sex
3,3.8.2,Iraq,0,Sex
4,4.1.2,Iraq,0,Sex
5,5.2.2,Iraq,0,Sex
5,5.a.1,Iraq,0,Sex
8,8.8.1,Iraq,0,Sex
9,9.2.2,Iraq,0,Sex
11,11.2.1,Iraq,0,Sex
11,11.7.1,Iraq,0,Sex
11,11.7.2,Iraq,0,Sex
10,10.2.1,Iraq,0,Sex
10,10.3.1,Iraq,0,Sex
10,10.4.2,Iraq,0,Sex
10,10.7.1,Iraq,0,Sex
10,10.7.4,Iraq,0,Sex
16,16.1.3,Iraq,0,Sex
16,16.1.4,Iraq,0,Sex
16,16.2.2,Iraq,0,Sex
16,16.2.3,Iraq,0,Sex
16,16.3.1,Iraq,0,Sex
16,16.3.2,Iraq,0,Sex
16,16.3.3,Iraq,0,Sex
16,16.6.2,Iraq,0,Sex
16,16.7.1,Iraq,0,Sex
16,16.7.2,Iraq,0,Sex
16,16.10.1,Iraq,0,Sex
16,16.10.2,Iraq,0,Sex
1,1.2.2,Jordan,0,Sex
1,1.4.2,Jordan,0,Sex
2,2.1.2,Jordan,0,Sex
2,2.3.2,Jordan,0,Sex
2,2.4.1,Jordan,0,Sex
3,3.3.1,Jordan,0,Sex
3,3.5.1,Jordan,0,Sex
3,3.a.1,Jordan,0,Sex
4,4.1.2,Jordan,0,Sex
5,5.2.2,Jordan,0,Sex
5,5.a.1,Jordan,0,Sex
5,5.b.1,Jordan,0,Sex
8,8.6.1,Jordan,0,Sex
8,8.8.2,Jordan,0,Sex
11,11.2.1,Jordan,0,Sex
11,11.7.1,Jordan,0,Sex
11,11.7.2,Jordan,0,Sex
10,10.2.1,Jordan,0,Sex
10,10.3.1,Jordan,0,Sex
10,10.4.2,Jordan,0,Sex
10,10.7.1,Jordan,0,Sex
10,10.7.4,Jordan,0,Sex
16,16.1.3,Jordan,0,Sex
16,16.1.4,Jordan,0,Sex
16,16.2.3,Jordan,0,Sex
16,16.3.1,Jordan,0,Sex
16,16.3.3,Jordan,0,Sex
16,16.5.1,Jordan,0,Sex
16,16.6.2,Jordan,0,Sex
16,16.7.1,Jordan,0,Sex
16,16.7.2,Jordan,0,Sex
16,16.10.1,Jordan,0,Sex
1,1.2.1,Kuwait,0,Sex
1,1.2.2,Kuwait,0,Sex
1,1.4.2,Kuwait,0,Sex
2,2.1.2,Kuwait,0,Sex
2,2.3.2,Kuwait,0,Sex
2,2.4.1,Kuwait,0,Sex
3,3.5.1,Kuwait,0,Sex
3,3.8.2,Kuwait,0,Sex
4,4.1.2,Kuwait,0,Sex
4,4.2.1,Kuwait,0,Sex
5,5.2.2,Kuwait,0,Sex
5,5.a.1,Kuwait,0,Sex
8,8.3.1,Kuwait,0,Sex
8,8.6.1,Kuwait,0,Sex
8,8.7.1,Kuwait,0,Sex
8,8.8.1,Kuwait,0,Sex
11,11.2.1,Kuwait,0,Sex
11,11.7.1,Kuwait,0,Sex
11,11.7.2,Kuwait,0,Sex
10,10.2.1,Kuwait,0,Sex
10,10.3.1,Kuwait,0,Sex
10,10.4.2,Kuwait,0,Sex
10,10.7.1,Kuwait,0,Sex
10,10.7.4,Kuwait,0,Sex
16,16.1.3,Kuwait,0,Sex
16,16.1.4,Kuwait,0,Sex
16,16.2.1,Kuwait,0,Sex
16,16.2.3,Kuwait,0,Sex
16,16.3.1,Kuwait,0,Sex
16,16.3.3,Kuwait,0,Sex
16,16.5.1,Kuwait,0,Sex
16,16.5.2,Kuwait,0,Sex
16,16.6.2,Kuwait,0,Sex
16,16.7.1,Kuwait,0,Sex
16,16.7.2,Kuwait,0,Sex
16,16.9.1,Kuwait,0,Sex
16,16.10.1,Kuwait,0,Sex
16,16.10.2,Kuwait,0,Sex
1,1.2.2,Lebanon,0,Sex
1,1.4.2,Lebanon,0,Sex
2,2.1.2,Lebanon,0,Sex
2,2.3.2,Lebanon,0,Sex
2,2.4.1,Lebanon,0,Sex
3,3.5.1,Lebanon,0,Sex
4,4.1.2,Lebanon,0,Sex
4,4.2.1,Lebanon,0,Sex
4,4.3.1,Lebanon,0,Sex
5,5.2.2,Lebanon,0,Sex
5,5.a.1,Lebanon,0,Sex
5,5.b.1,Lebanon,0,Sex
7,7.1.2,Lebanon,0,Sex
8,8.3.1,Lebanon,0,Sex
8,8.7.1,Lebanon,0,Sex
8,8.8.1,Lebanon,0,Sex
8,8.8.2,Lebanon,0,Sex
9,9.2.2,Lebanon,0,Sex
9,9.5.2,Lebanon,0,Sex
11,11.2.1,Lebanon,0,Sex
11,11.7.1,Lebanon,0,Sex
11,11.7.2,Lebanon,0,Sex
10,10.2.1,Lebanon,0,Sex
10,10.3.1,Lebanon,0,Sex
10,10.4.2,Lebanon,0,Sex
10,10.7.1,Lebanon,0,Sex
10,10.7.4,Lebanon,0,Sex
16,16.1.3,Lebanon,0,Sex
16,16.1.4,Lebanon,0,Sex
16,16.2.1,Lebanon,0,Sex
16,16.2.3,Lebanon,0,Sex
16,16.3.1,Lebanon,0,Sex
16,16.3.3,Lebanon,0,Sex
16,16.5.1,Lebanon,0,Sex
16,16.6.2,Lebanon,0,Sex
16,16.7.1,Lebanon,0,Sex
16,16.7.2,Lebanon,0,Sex
16,16.10.1,Lebanon,0,Sex
1,1.2.1,Libya,0,Sex
1,1.2.2,Libya,0,Sex
1,1.4.2,Libya,0,Sex
1,1.5.1,Libya,0,Sex
2,2.1.2,Libya,0,Sex
2,2.3.2,Libya,0,Sex
2,2.4.1,Libya,0,Sex
17,17.19.2,Libya,0,Sex
3,3.3.1,Libya,0,Sex
3,3.5.1,Libya,0,Sex
3,3.8.2,Libya,0,Sex
3,3.a.1,Libya,0,Sex
4,4.1.2,Libya,0,Sex
4,4.2.1,Libya,0,Sex
4,4.4.1,Libya,0,Sex
5,5.2.2,Libya,0,Sex
5,5.a.1,Libya,0,Sex
5,5.b.1,Libya,0,Sex
7,7.1.2,Libya,0,Sex
8,8.3.1,Libya,0,Sex
8,8.6.1,Libya,0,Sex
8,8.7.1,Libya,0,Sex
8,8.8.1,Libya,0,Sex
9,9.2.2,Libya,0,Sex
9,9.5.2,Libya,0,Sex
11,11.2.1,Libya,0,Sex
11,11.5.1,Libya,0,Sex
11,11.7.1,Libya,0,Sex
11,11.7.2,Libya,0,Sex
10,10.2.1,Libya,0,Sex
10,10.3.1,Libya,0,Sex
10,10.4.2,Libya,0,Sex
10,10.7.1,Libya,0,Sex
10,10.7.4,Libya,0,Sex
16,16.1.1,Libya,0,Sex
16,16.1.3,Libya,0,Sex
16,16.1.4,Libya,0,Sex
16,16.2.1,Libya,0,Sex
16,16.2.2,Libya,0,Sex
16,16.2.3,Libya,0,Sex
16,16.3.1,Libya,0,Sex
16,16.3.3,Libya,0,Sex
16,16.5.1,Libya,0,Sex
16,16.5.2,Libya,0,Sex
16,16.6.2,Libya,0,Sex
16,16.7.1,Libya,0,Sex
16,16.7.2,Libya,0,Sex
16,16.9.1,Libya,0,Sex
16,16.10.1,Libya,0,Sex
16,16.10.2,Libya,0,Sex
1,1.2.2,Mauritania,0,Sex
1,1.4.2,Mauritania,0,Sex
2,2.1.2,Mauritania,0,Sex
2,2.3.2,Mauritania,0,Sex
2,2.4.1,Mauritania,0,Sex
17,17.19.2,Mauritania,0,Sex
3,3.5.1,Mauritania,0,Sex
3,3.a.1,Mauritania,0,Sex
4,4.1.2,Mauritania,0,Sex
4,4.4.1,Mauritania,0,Sex
5,5.2.2,Mauritania,0,Sex
5,5.a.1,Mauritania,0,Sex
5,5.b.1,Mauritania,0,Sex
8,8.8.1,Mauritania,0,Sex
9,9.2.2,Mauritania,0,Sex
9,9.5.2,Mauritania,0,Sex
11,11.2.1,Mauritania,0,Sex
11,11.7.1,Mauritania,0,Sex
11,11.7.2,Mauritania,0,Sex
10,10.2.1,Mauritania,0,Sex
10,10.3.1,Mauritania,0,Sex
10,10.4.2,Mauritania,0,Sex
10,10.7.1,Mauritania,0,Sex
10,10.7.4,Mauritania,0,Sex
16,16.1.1,Mauritania,0,Sex
16,16.1.3,Mauritania,0,Sex
16,16.1.4,Mauritania,0,Sex
16,16.2.3,Mauritania,0,Sex
16,16.3.1,Mauritania,0,Sex
16,16.3.2,Mauritania,0,Sex
16,16.3.3,Mauritania,0,Sex
16,16.5.1,Mauritania,0,Sex
16,16.6.2,Mauritania,0,Sex
16,16.7.1,Mauritania,0,Sex
16,16.7.2,Mauritania,0,Sex
16,16.10.1,Mauritania,0,Sex
16,16.10.2,Mauritania,0,Sex
1,1.2.2,Morocco,0,Sex
1,1.4.2,Morocco,0,Sex
2,2.1.2,Morocco,0,Sex
2,2.3.2,Morocco,0,Sex
2,2.4.1,Morocco,0,Sex
3,3.5.1,Morocco,0,Sex
4,4.1.2,Morocco,0,Sex
4,4.2.1,Morocco,0,Sex
5,5.2.2,Morocco,0,Sex
5,5.a.1,Morocco,0,Sex
8,8.6.1,Morocco,0,Sex
8,8.7.1,Morocco,0,Sex
8,8.8.1,Morocco,0,Sex
8,8.8.2,Morocco,0,Sex
11,11.2.1,Morocco,0,Sex
11,11.7.1,Morocco,0,Sex
11,11.7.2,Morocco,0,Sex
10,10.2.1,Morocco,0,Sex
10,10.3.1,Morocco,0,Sex
10,10.4.2,Morocco,0,Sex
10,10.7.1,Morocco,0,Sex
10,10.7.4,Morocco,0,Sex
16,16.1.2,Morocco,0,Sex
16,16.1.3,Morocco,0,Sex
16,16.1.4,Morocco,0,Sex
16,16.2.1,Morocco,0,Sex
16,16.2.3,Morocco,0,Sex
16,16.3.1,Morocco,0,Sex
16,16.3.3,Morocco,0,Sex
16,16.6.2,Morocco,0,Sex
16,16.7.1,Morocco,0,Sex
16,16.7.2,Morocco,0,Sex
16,16.10.1,Morocco,0,Sex
1,1.2.1,Oman,0,Sex
1,1.2.2,Oman,0,Sex
1,1.4.2,Oman,0,Sex
1,1.5.1,Oman,0,Sex
2,2.1.2,Oman,0,Sex
2,2.3.2,Oman,0,Sex
2,2.4.1,Oman,0,Sex
3,3.3.1,Oman,0,Sex
3,3.5.1,Oman,0,Sex
4,4.1.2,Oman,0,Sex
5,5.2.2,Oman,0,Sex
5,5.a.1,Oman,0,Sex
8,8.6.1,Oman,0,Sex
8,8.7.1,Oman,0,Sex
8,8.8.1,Oman,0,Sex
8,8.8.2,Oman,0,Sex
11,11.2.1,Oman,0,Sex
11,11.5.1,Oman,0,Sex
11,11.7.1,Oman,0,Sex
11,11.7.2,Oman,0,Sex
10,10.2.1,Oman,0,Sex
10,10.3.1,Oman,0,Sex
10,10.4.2,Oman,0,Sex
10,10.7.1,Oman,0,Sex
10,10.7.4,Oman,0,Sex
16,16.1.2,Oman,0,Sex
16,16.1.3,Oman,0,Sex
16,16.1.4,Oman,0,Sex
16,16.2.1,Oman,0,Sex
16,16.2.3,Oman,0,Sex
16,16.3.1,Oman,0,Sex
16,16.3.2,Oman,0,Sex
16,16.3.3,Oman,0,Sex
16,16.5.1,Oman,0,Sex
16,16.5.2,Oman,0,Sex
16,16.6.2,Oman,0,Sex
16,16.7.1,Oman,0,Sex
16,16.7.2,Oman,0,Sex
16,16.9.1,Oman,0,Sex
16,16.10.1,Oman,0,Sex
16,16.10.2,Oman,0,Sex
1,1.2.2,Palestine,0,Sex
1,1.4.2,Palestine,0,Sex
2,2.3.2,Palestine,0,Sex
2,2.4.1,Palestine,0,Sex
3,3.3.1,Palestine,0,Sex
3,3.4.1,Palestine,0,Sex
3,3.4.2,Palestine,0,Sex
3,3.5.1,Palestine,0,Sex
3,3.5.2,Palestine,0,Sex
3,3.6.1,Palestine,0,Sex
3,3.8.2,Palestine,0,Sex
3,3.9.1,Palestine,0,Sex
3,3.9.2,Palestine,0,Sex
3,3.9.3,Palestine,0,Sex
3,3.a.1,Palestine,0,Sex
4,4.1.2,Palestine,0,Sex
5,5.2.2,Palestine,0,Sex
5,5.5.1,Palestine,0,Sex
5,5.a.1,Palestine,0,Sex
7,7.1.2,Palestine,0,Sex
8,8.8.2,Palestine,0,Sex
11,11.2.1,Palestine,0,Sex
11,11.7.1,Palestine,0,Sex
11,11.7.2,Palestine,0,Sex
10,10.2.1,Palestine,0,Sex
10,10.3.1,Palestine,0,Sex
10,10.4.2,Palestine,0,Sex
10,10.7.1,Palestine,0,Sex
10,10.7.4,Palestine,0,Sex
16,16.1.2,Palestine,0,Sex
16,16.2.2,Palestine,0,Sex
16,16.3.2,Palestine,0,Sex
16,16.3.3,Palestine,0,Sex
16,16.6.2,Palestine,0,Sex
16,16.7.1,Palestine,0,Sex
16,16.7.2,Palestine,0,Sex
16,16.10.1,Palestine,0,Sex
16,16.10.2,Palestine,0,Sex
1,1.1.1,Qatar,0,Sex
1,1.2.1,Qatar,0,Sex
1,1.2.2,Qatar,0,Sex
1,1.4.2,Qatar,0,Sex
1,1.5.1,Qatar,0,Sex
2,2.1.2,Qatar,0,Sex
2,2.3.2,Qatar,0,Sex
2,2.4.1,Qatar,0,Sex
3,3.3.1,Qatar,0,Sex
3,3.5.1,Qatar,0,Sex
3,3.8.2,Qatar,0,Sex
4,4.1.2,Qatar,0,Sex
5,5.2.2,Qatar,0,Sex
5,5.a.1,Qatar,0,Sex
8,8.7.1,Qatar,0,Sex
8,8.8.2,Qatar,0,Sex
11,11.2.1,Qatar,0,Sex
11,11.5.1,Qatar,0,Sex
11,11.7.1,Qatar,0,Sex
11,11.7.2,Qatar,0,Sex
10,10.2.1,Qatar,0,Sex
10,10.3.1,Qatar,0,Sex
10,10.4.2,Qatar,0,Sex
10,10.7.1,Qatar,0,Sex
10,10.7.4,Qatar,0,Sex
16,16.1.3,Qatar,0,Sex
16,16.2.1,Qatar,0,Sex
16,16.2.3,Qatar,0,Sex
16,16.3.1,Qatar,0,Sex
16,16.3.3,Qatar,0,Sex
16,16.5.1,Qatar,0,Sex
16,16.5.2,Qatar,0,Sex
16,16.6.2,Qatar,0,Sex
16,16.7.1,Qatar,0,Sex
16,16.7.2,Qatar,0,Sex
16,16.10.1,Qatar,0,Sex
16,16.10.2,Qatar,0,Sex
1,1.1.1,Saudi Arabia,0,Sex
1,1.2.1,Saudi Arabia,0,Sex
1,1.2.2,Saudi Arabia,0,Sex
1,1.3.1,Saudi Arabia,0,Sex
1,1.4.2,Saudi Arabia,0,Sex
2,2.1.2,Saudi Arabia,0,Sex
2,2.3.2,Saudi Arabia,0,Sex
2,2.4.1,Saudi Arabia,0,Sex
3,3.3.1,Saudi Arabia,0,Sex
3,3.5.1,Saudi Arabia,0,Sex
3,3.8.2,Saudi Arabia,0,Sex
4,4.1.2,Saudi Arabia,0,Sex
4,4.2.1,Saudi Arabia,0,Sex
5,5.2.2,Saudi Arabia,0,Sex
5,5.a.1,Saudi Arabia,0,Sex
8,8.7.1,Saudi Arabia,0,Sex
8,8.8.1,Saudi Arabia,0,Sex
8,8.8.2,Saudi Arabia,0,Sex
9,9.5.2,Saudi Arabia,0,Sex
11,11.2.1,Saudi Arabia,0,Sex
11,11.7.1,Saudi Arabia,0,Sex
11,11.7.2,Saudi Arabia,0,Sex
10,10.2.1,Saudi Arabia,0,Sex
10,10.3.1,Saudi Arabia,0,Sex
10,10.4.2,Saudi Arabia,0,Sex
10,10.7.1,Saudi Arabia,0,Sex
10,10.7.4,Saudi Arabia,0,Sex
16,16.1.3,Saudi Arabia,0,Sex
16,16.1.4,Saudi Arabia,0,Sex
16,16.2.1,Saudi Arabia,0,Sex
16,16.2.2,Saudi Arabia,0,Sex
16,16.2.3,Saudi Arabia,0,Sex
16,16.3.1,Saudi Arabia,0,Sex
16,16.3.2,Saudi Arabia,0,Sex
16,16.3.3,Saudi Arabia,0,Sex
16,16.5.1,Saudi Arabia,0,Sex
16,16.5.2,Saudi Arabia,0,Sex
16,16.6.2,Saudi Arabia,0,Sex
16,16.7.1,Saudi Arabia,0,Sex
16,16.7.2,Saudi Arabia,0,Sex
16,16.9.1,Saudi Arabia,0,Sex
16,16.10.1,Saudi Arabia,0,Sex
16,16.10.2,Saudi Arabia,0,Sex
1,1.2.1,Somalia,0,Sex
1,1.2.2,Somalia,0,Sex
1,1.3.1,Somalia,0,Sex
1,1.4.2,Somalia,0,Sex
2,2.1.2,Somalia,0,Sex
2,2.3.2,Somalia,0,Sex
2,2.4.1,Somalia,0,Sex
17,17.19.2,Somalia,0,Sex
3,3.5.1,Somalia,0,Sex
3,3.8.2,Somalia,0,Sex
3,3.a.1,Somalia,0,Sex
4,4.1.1,Somalia,0,Sex
4,4.1.2,Somalia,0,Sex
4,4.2.1,Somalia,0,Sex
4,4.2.2,Somalia,0,Sex
4,4.3.1,Somalia,0,Sex
4,4.4.1,Somalia,0,Sex
4,4.6.1,Somalia,0,Sex
5,5.2.2,Somalia,0,Sex
5,5.a.1,Somalia,0,Sex
5,5.b.1,Somalia,0,Sex
8,8.3.1,Somalia,0,Sex
8,8.5.2,Somalia,0,Sex
8,8.6.1,Somalia,0,Sex
8,8.7.1,Somalia,0,Sex
8,8.8.1,Somalia,0,Sex
8,8.8.2,Somalia,0,Sex
9,9.2.2,Somalia,0,Sex
9,9.5.2,Somalia,0,Sex
11,11.2.1,Somalia,0,Sex
11,11.7.1,Somalia,0,Sex
11,11.7.2,Somalia,0,Sex
10,10.2.1,Somalia,0,Sex
10,10.3.1,Somalia,0,Sex
10,10.4.2,Somalia,0,Sex
10,10.7.1,Somalia,0,Sex
10,10.7.4,Somalia,0,Sex
16,16.1.1,Somalia,0,Sex
16,16.1.3,Somalia,0,Sex
16,16.1.4,Somalia,0,Sex
16,16.2.1,Somalia,0,Sex
16,16.2.2,Somalia,0,Sex
16,16.2.3,Somalia,0,Sex
16,16.3.1,Somalia,0,Sex
16,16.3.2,Somalia,0,Sex
16,16.3.3,Somalia,0,Sex
16,16.5.1,Somalia,0,Sex
16,16.5.2,Somalia,0,Sex
16,16.6.2,Somalia,0,Sex
16,16.7.1,Somalia,0,Sex
16,16.7.2,Somalia,0,Sex
16,16.10.1,Somalia,0,Sex
16,16.10.2,Somalia,0,Sex
1,1.2.2,Sudan,0,Sex
1,1.4.2,Sudan,0,Sex
2,2.1.2,Sudan,0,Sex
2,2.3.2,Sudan,0,Sex
2,2.4.1,Sudan,0,Sex
17,17.19.2,Sudan,0,Sex
3,3.5.1,Sudan,0,Sex
3,3.8.2,Sudan,0,Sex
3,3.a.1,Sudan,0,Sex
4,4.1.2,Sudan,0,Sex
4,4.2.1,Sudan,0,Sex
5,5.2.2,Sudan,0,Sex
5,5.a.1,Sudan,0,Sex
8,8.8.1,Sudan,0,Sex
8,8.8.2,Sudan,0,Sex
9,9.5.2,Sudan,0,Sex
11,11.2.1,Sudan,0,Sex
11,11.7.1,Sudan,0,Sex
11,11.7.2,Sudan,0,Sex
10,10.2.1,Sudan,0,Sex
10,10.3.1,Sudan,0,Sex
10,10.4.2,Sudan,0,Sex
10,10.7.1,Sudan,0,Sex
10,10.7.4,Sudan,0,Sex
16,16.1.3,Sudan,0,Sex
16,16.1.4,Sudan,0,Sex
16,16.2.2,Sudan,0,Sex
16,16.2.3,Sudan,0,Sex
16,16.3.1,Sudan,0,Sex
16,16.3.3,Sudan,0,Sex
16,16.5.1,Sudan,0,Sex
16,16.6.2,Sudan,0,Sex
16,16.7.1,Sudan,0,Sex
16,16.7.2,Sudan,0,Sex
16,16.10.1,Sudan,0,Sex
1,1.2.2,Syria,0,Sex
1,1.4.2,Syria,0,Sex
2,2.1.2,Syria,0,Sex
2,2.3.2,Syria,0,Sex
2,2.4.1,Syria,0,Sex
3,3.3.1,Syria,0,Sex
3,3.5.1,Syria,0,Sex
3,3.8.2,Syria,0,Sex
3,3.a.1,Syria,0,Sex
4,4.1.2,Syria,0,Sex
4,4.2.1,Syria,0,Sex
5,5.2.2,Syria,0,Sex
5,5.a.1,Syria,0,Sex
5,5.b.1,Syria,0,Sex
8,8.6.1,Syria,0,Sex
8,8.7.1,Syria,0,Sex
8,8.8.1,Syria,0,Sex
9,9.5.2,Syria,0,Sex
11,11.2.1,Syria,0,Sex
11,11.7.1,Syria,0,Sex
11,11.7.2,Syria,0,Sex
10,10.2.1,Syria,0,Sex
10,10.3.1,Syria,0,Sex
10,10.4.2,Syria,0,Sex
10,10.7.1,Syria,0,Sex
10,10.7.4,Syria,0,Sex
16,16.1.3,Syria,0,Sex
16,16.1.4,Syria,0,Sex
16,16.2.1,Syria,0,Sex
16,16.2.2,Syria,0,Sex
16,16.2.3,Syria,0,Sex
16,16.3.1,Syria,0,Sex
16,16.3.2,Syria,0,Sex
